Student ID,Gender,Race/Ethnicity,Parental Education,Lunch Type,Test Preparation,Study Time per Week,Daily Sleep Duration,Math Score,Reading Score,Writing Score,School Type,Internet Access
91,male,group C,master degree,free/reduced,TRUE,2.7,6.5,64,,67,public,TRUE
92,female,group B,,standard,FALSE,10.1,7.7,77,88,95,public,TRUE
93,male,group A,high school,standard,TRUE,5.5,6.7,71,53,75,public,TRUE
94,male,group A,bachelor degree,standard,FALSE,6.8,7,55,,49,public,FALSE
95,female,group A,associate degree,standard,FALSE,12.3,9.3,39,42,57,public,TRUE
96,female,group E,bachelor degree,standard,FALSE,11,8,87,61,69,public,FALSE
97,male,group E,bachelor degree,standard,TRUE,7.1,5.6,80,54,80,international,TRUE
98,male,group B,associate degree,standard,FALSE,7.1,8.3,73,72,75,public,FALSE
99,male,group A,bachelor degree,standard,FALSE,0,8,70,72,81,public,TRUE
100,male,group E,high school,standard,FALSE,10.4,6.5,42,81,49,public,
101,female,group E,associate degree,standard,TRUE,11.1,5.1,81,87,78,public,TRUE
102,female,group D,some college,standard,FALSE,14.2,5.2,52,71,68,public,TRUE
103,male,group B,high school,standard,FALSE,8.6,6.8,69,74,85,private,TRUE
104,male,group C,high school,standard,TRUE,,6,54,58,83,public,
105,male,group B,bachelor degree,standard,FALSE,12.6,5.4,76,67,71,public,TRUE
106,female,group C,bachelor degree,standard,FALSE,12.4,5.9,51,78,93,private,TRUE
107,female,group E,,standard,TRUE,10.8,8.3,88,86,59,public,TRUE
108,male,group B,,standard,FALSE,0,8.2,100,51,71,private,TRUE
109,female,group B,bachelor degree,standard,TRUE,11.7,7,91,51,43,private,TRUE
110,female,group E,associate degree,free/reduced,FALSE,3.8,6.1,68,70,55,private,TRUE
111,female,group C,some college,standard,TRUE,15.8,7.1,75,75,91,international,TRUE
112,female,group C,some college,standard,TRUE,23.1,5.2,68,43,48,private,TRUE
113,male,group A,master degree,free/reduced,TRUE,11.3,,93,,79,public,TRUE
114,female,group C,bachelor degree,standard,TRUE,13.9,5.9,61,63,42,public,TRUE
115,male,group D,associate degree,standard,FALSE,12.4,8.4,47,68,68,public,TRUE
116,female,group D,high school,free/reduced,TRUE,11.5,5.8,63,77,91,public,TRUE
117,female,group E,some college,free/reduced,TRUE,7.2,6.9,82,77,,public,TRUE
118,male,group B,high school,free/reduced,TRUE,5.6,7.7,71,88,74,public,TRUE
119,female,group C,bachelor degree,free/reduced,TRUE,13,7.5,60,73,76,public,TRUE
120,female,group C,some college,free/reduced,FALSE,14,,59,52,76,public,TRUE
121,female,group E,bachelor degree,standard,FALSE,8.9,6.6,65,77,42,private,TRUE
122,female,group E,some college,standard,FALSE,,8.2,84,83,71,public,TRUE
123,female,group D,,free/reduced,TRUE,9.2,,83,63,58,public,FALSE
124,female,group C,associate degree,standard,TRUE,5.4,7.4,65,47,62,private,FALSE
125,female,group B,some college,standard,TRUE,9.9,7.2,70,70,53,public,TRUE
126,male,group B,associate degree,standard,FALSE,0.2,8.4,51,75,62,public,TRUE
127,female,group A,high school,standard,FALSE,6.1,9,56,29,72,public,TRUE
128,male,group C,associate degree,standard,FALSE,5,,45,73,64,private,TRUE
129,female,group E,high school,standard,FALSE,21.4,10.4,54,76,95,public,TRUE
130,female,group A,bachelor degree,standard,FALSE,11.8,7.4,38,99,87,public,FALSE
131,female,group C,bachelor degree,standard,TRUE,10.5,7.7,87,,37,public,TRUE
132,female,group E,master degree,standard,TRUE,17.4,7.9,81,,75,private,TRUE
133,male,group A,some college,free/reduced,FALSE,19.4,5.8,100,71,75,public,FALSE
134,female,group C,associate degree,free/reduced,FALSE,12,7,89,77,,public,FALSE
135,female,group A,associate degree,standard,TRUE,5.8,6.4,67,75,68,public,TRUE
136,male,group D,associate degree,standard,FALSE,0.5,4.7,59,69,83,public,TRUE
137,female,group C,,standard,FALSE,5.4,7.2,80,63,74,public,TRUE
138,male,group E,high school,standard,FALSE,8.9,4.7,94,53,75,public,TRUE
139,male,group C,associate degree,free/reduced,FALSE,21,6.9,54,76,51,private,FALSE
140,male,group D,high school,standard,FALSE,7.6,8.7,75,44,54,public,TRUE
141,male,group A,associate degree,free/reduced,TRUE,2.1,5.6,61,100,72,public,TRUE
142,male,group C,associate degree,standard,FALSE,9.1,7.1,97,,54,public,FALSE
143,male,group A,,,TRUE,4,5.9,70,95,78,public,TRUE
144,male,group D,some college,free/reduced,FALSE,0.4,8.6,79,,89,private,TRUE
145,male,group E,associate degree,standard,TRUE,9.8,7,67,76,,public,TRUE
146,male,group B,bachelor degree,standard,TRUE,8,6.3,71,68,68,private,TRUE
147,male,group D,bachelor degree,free/reduced,FALSE,8.6,7.2,45,64,77,public,FALSE
148,male,group D,high school,standard,TRUE,18,8.2,61,81,62,public,TRUE
149,male,group C,some college,standard,TRUE,11.3,8,84,57,58,private,TRUE
150,female,group E,,standard,FALSE,8.3,10,86,75,94,public,TRUE
151,male,group A,some college,standard,FALSE,8.3,8.1,99,95,68,international,TRUE
152,male,group E,some college,standard,FALSE,,6.7,64,70,56,private,TRUE
153,female,group B,associate degree,standard,FALSE,8.3,9.1,78,43,79,public,TRUE
154,male,group D,high school,standard,FALSE,9.6,8.5,95,65,73,public,TRUE
155,female,group E,master degree,standard,TRUE,4.8,11,77,55,45,private,FALSE
156,female,group C,,standard,FALSE,4.6,6.8,85,67,73,public,TRUE
157,female,group D,,standard,TRUE,8.4,6.9,78,47,64,public,TRUE
158,male,group A,some college,free/reduced,TRUE,3.1,10.8,66,,98,public,FALSE
159,female,group E,bachelor degree,standard,FALSE,8,5.7,70,66,75,public,TRUE
160,male,group E,,standard,TRUE,12.6,6.3,63,63,82,public,TRUE
161,female,group B,bachelor degree,standard,FALSE,4.1,8,74,74,69,public,TRUE
162,female,group C,high school,free/reduced,TRUE,6.1,6.7,94,72,74,private,TRUE
163,male,group B,high school,standard,TRUE,6.5,5.1,70,69,58,public,TRUE
164,male,group C,associate degree,standard,FALSE,4.3,,80,57,87,public,TRUE
165,female,group C,high school,standard,TRUE,14.2,6.4,66,68,70,private,TRUE
166,male,group B,high school,free/reduced,TRUE,,6.2,11,77,70,private,TRUE
167,male,group E,some college,standard,FALSE,10.8,6.7,100,71,75,public,TRUE
168,male,group B,some college,standard,FALSE,10.9,6.8,95,69,65,public,TRUE
169,female,group D,some college,standard,FALSE,1,6.9,61,65,64,public,TRUE
170,female,group E,high school,standard,FALSE,10.8,4.3,65,55,71,private,TRUE
171,female,group B,high school,standard,FALSE,5.5,8.3,95,71,63,private,TRUE
172,male,group E,high school,standard,FALSE,8.3,6.1,83,90,77,public,FALSE
173,female,group C,high school,standard,FALSE,17.5,9.7,42,74,78,public,TRUE
174,female,group D,some college,free/reduced,TRUE,,,41,79,74,international,TRUE
175,male,group E,high school,standard,TRUE,9.3,7.7,77,61,81,international,TRUE
176,female,group D,associate degree,standard,TRUE,14.5,7.8,91,77,69,international,TRUE
177,male,group C,associate degree,free/reduced,FALSE,8.8,8.5,65,86,,international,TRUE
178,male,group A,some college,free/reduced,FALSE,8.1,,76,63,70,public,TRUE
179,male,group C,high school,standard,TRUE,13.2,8.2,100,74,83,public,TRUE
180,male,group B,some college,standard,TRUE,9.8,7.8,48,59,72,private,TRUE
181,female,group C,bachelor degree,free/reduced,FALSE,,8.5,72,66,75,public,TRUE
182,female,group E,high school,standard,TRUE,7.7,8.3,89,100,82,public,TRUE
183,female,group C,high school,,TRUE,9.3,7.4,66,50,57,private,TRUE
184,female,group D,associate degree,free/reduced,TRUE,,7.3,66,44,74,public,TRUE
185,male,group B,,free/reduced,TRUE,13.2,8.6,64,85,50,private,TRUE
186,female,group E,high school,free/reduced,TRUE,15.8,6.9,65,82,68,international,TRUE
187,male,group B,bachelor degree,standard,FALSE,1.3,9.6,62,,73,public,FALSE
188,male,group D,associate degree,free/reduced,TRUE,0.4,7.7,67,69,98,public,FALSE
189,female,group E,associate degree,standard,TRUE,8.8,11,81,61,52,public,FALSE
190,male,group C,master degree,standard,TRUE,6.6,5.7,75,86,62,public,TRUE
191,male,group C,bachelor degree,free/reduced,TRUE,11.3,6.9,63,89,79,public,TRUE
192,female,group E,some college,standard,TRUE,7.5,9.6,68,84,96,public,TRUE
193,male,group B,associate degree,standard,TRUE,12,7.5,100,77,65,private,
194,male,group C,,free/reduced,TRUE,22.5,8.5,61,82,52,public,TRUE
195,male,group D,high school,free/reduced,FALSE,,7.9,85,74,68,public,TRUE
196,male,group D,associate degree,standard,FALSE,14.8,6.8,88,71,61,public,TRUE
197,female,group D,some college,standard,FALSE,14.8,6.7,67,62,91,private,TRUE
198,female,group C,high school,standard,FALSE,8.2,8.7,62,74,84,public,FALSE
199,female,group B,master degree,standard,FALSE,12.3,8.2,89,68,83,private,TRUE
200,female,group C,high school,standard,FALSE,0,7.6,66,63,58,public,TRUE
201,female,group C,associate degree,free/reduced,FALSE,5.5,9.2,73,76,55,private,TRUE
202,female,group E,associate degree,free/reduced,TRUE,14.1,8.3,60,72,79,public,TRUE
203,male,group C,bachelor degree,free/reduced,FALSE,6.7,8.9,92,65,,public,TRUE
204,male,group E,associate degree,standard,FALSE,10.9,8.5,52,54,94,private,TRUE
205,female,group B,high school,standard,FALSE,7.4,7,49,46,91,private,TRUE
206,male,group C,,free/reduced,TRUE,,6,71,69,66,private,TRUE
207,female,group B,associate degree,free/reduced,FALSE,11.3,8.5,85,84,,public,TRUE
208,female,group C,some college,standard,FALSE,8.1,9.8,85,77,88,private,FALSE
209,female,group D,associate degree,free/reduced,FALSE,5.6,3,95,83,65,public,TRUE
210,male,group E,,free/reduced,TRUE,5.8,6.1,75,54,66,public,TRUE
211,female,group B,high school,standard,TRUE,2.3,9.5,84,46,100,public,TRUE
212,male,group D,some college,standard,TRUE,8.1,7.1,43,53,62,public,TRUE
213,male,group B,bachelor degree,standard,TRUE,,8.5,63,64,50,public,TRUE
214,female,group E,master degree,standard,FALSE,11.2,5.2,43,62,97,public,TRUE
215,female,group D,associate degree,standard,TRUE,17.1,8.6,73,76,65,private,FALSE
216,male,group B,high school,standard,TRUE,9.3,,74,43,94,public,TRUE
217,female,group E,high school,standard,FALSE,11,,65,76,56,private,TRUE
218,male,group C,some college,standard,FALSE,19.6,7.2,56,54,88,private,TRUE
219,female,group B,some college,standard,FALSE,8.7,7.4,69,64,72,public,TRUE
220,male,group C,associate degree,standard,FALSE,11.1,8.9,72,71,100,international,TRUE
221,female,group B,high school,free/reduced,TRUE,7,6.1,52,71,90,international,TRUE
222,male,group C,high school,standard,TRUE,17.1,6.4,40,66,56,public,TRUE
223,male,group D,some college,standard,FALSE,0.5,7.2,67,58,78,private,
224,male,group C,high school,standard,FALSE,19.2,7.7,78,77,64,public,TRUE
225,male,group B,,free/reduced,TRUE,18,7,59,59,84,public,TRUE
226,female,group C,associate degree,free/reduced,FALSE,9.9,5.5,83,88,80,public,TRUE
227,male,group E,associate degree,standard,TRUE,9.1,7.3,74,,64,public,TRUE
228,male,group D,bachelor degree,free/reduced,FALSE,3,8.2,66,72,66,public,FALSE
229,female,group B,,free/reduced,TRUE,,5.8,66,68,76,public,TRUE
230,female,group E,associate degree,free/reduced,TRUE,0.6,8.8,46,,33,public,TRUE
231,female,group D,master degree,standard,TRUE,5.1,7,97,64,86,public,TRUE
232,male,group C,bachelor degree,standard,FALSE,10.4,8.2,64,56,68,public,FALSE
233,female,group D,high school,free/reduced,TRUE,9.2,6.8,92,74,54,public,TRUE
234,female,group D,master degree,standard,TRUE,7.6,7.3,71,84,68,public,TRUE
235,female,group E,some college,standard,FALSE,,6.6,83,77,53,international,TRUE
236,male,group B,bachelor degree,standard,TRUE,5.7,9.1,84,64,74,public,TRUE
237,female,group B,associate degree,standard,FALSE,3.3,8.5,87,79,84,private,FALSE
238,male,group E,,free/reduced,TRUE,8.1,5.4,80,56,65,public,TRUE
239,male,group B,high school,standard,FALSE,,9.8,78,49,89,international,TRUE
240,male,group B,associate degree,standard,FALSE,11.2,,89,100,61,public,TRUE
241,male,group E,high school,standard,TRUE,7.2,6.8,62,67,76,international,TRUE
242,female,group C,some college,,FALSE,6.3,,56,76,,public,FALSE
243,male,group E,bachelor degree,free/reduced,TRUE,5.2,8.3,44,75,77,international,TRUE
244,male,group A,associate degree,standard,TRUE,4.5,8.2,63,96,95,public,TRUE
245,female,group C,high school,standard,FALSE,9.9,6,64,,74,private,TRUE
246,male,group B,,standard,FALSE,11.4,,100,70,42,public,FALSE
247,male,group C,master degree,standard,FALSE,6.9,,64,72,95,public,TRUE
248,male,group D,some college,standard,FALSE,4,8.7,75,47,70,public,
249,female,group D,,standard,FALSE,,6.6,51,64,43,public,TRUE
250,female,group E,,standard,FALSE,9.7,,65,83,71,private,TRUE
251,female,group D,master degree,free/reduced,FALSE,10.5,6.1,70,73,63,private,TRUE
252,female,group C,,standard,TRUE,9.4,6.6,51,74,36,public,TRUE
253,male,group C,some college,free/reduced,FALSE,15.5,9.4,75,76,87,public,TRUE
254,female,group E,high school,,FALSE,2.1,8.8,66,77,46,public,FALSE
255,female,group A,associate degree,free/reduced,TRUE,1.9,9.2,72,91,75,public,FALSE
256,female,group C,bachelor degree,free/reduced,TRUE,4,7,77,55,65,private,TRUE
257,female,group C,master degree,standard,TRUE,9.5,8.5,71,64,74,public,FALSE
258,male,group E,some college,free/reduced,TRUE,12.1,7.7,64,71,70,public,TRUE
259,male,group E,master degree,free/reduced,FALSE,14,8.8,65,58,84,private,TRUE
260,female,group E,high school,standard,FALSE,11.2,7.1,78,68,76,private,TRUE
261,female,group A,,standard,TRUE,,4.4,82,67,82,public,TRUE
262,male,group B,associate degree,free/reduced,FALSE,17.1,7,77,59,79,public,TRUE
263,male,group B,,free/reduced,TRUE,8.8,6.2,100,71,70,public,TRUE
264,male,group E,some college,free/reduced,FALSE,15.9,7.4,61,93,72,public,TRUE
265,female,group B,high school,standard,FALSE,0,7.7,80,94,85,public,TRUE
266,female,group A,high school,standard,FALSE,17.5,5.3,60,57,63,private,TRUE
267,female,group B,high school,standard,FALSE,15,8.7,61,66,74,private,TRUE
268,female,group C,associate degree,standard,TRUE,2.8,6.8,53,95,85,private,TRUE
269,male,group D,high school,standard,FALSE,,8.3,46,89,75,private,TRUE
270,female,group A,high school,standard,TRUE,12.7,8.4,50,66,85,international,TRUE
271,male,group E,bachelor degree,standard,FALSE,6.4,7.6,71,65,79,public,TRUE
272,female,group E,high school,standard,TRUE,,7.4,66,,62,public,TRUE
273,male,group B,,standard,FALSE,14.2,7.2,70,79,82,public,TRUE
274,female,group D,high school,standard,FALSE,1.8,9.9,74,100,66,public,TRUE
275,female,group E,some college,free/reduced,TRUE,15.7,7.9,76,87,94,public,FALSE
276,male,group D,associate degree,standard,TRUE,,7.8,50,49,65,public,TRUE
277,female,group E,some college,standard,FALSE,,6.9,58,72,79,public,TRUE
278,male,group E,high school,standard,FALSE,11.6,,56,77,76,private,TRUE
279,male,group E,some college,standard,TRUE,8.4,9.4,87,97,57,public,TRUE
280,female,group A,high school,standard,TRUE,8.8,7.5,79,81,59,public,TRUE
281,female,group D,some college,free/reduced,FALSE,15.5,6.9,67,80,58,private,TRUE
282,male,group B,associate degree,free/reduced,FALSE,14.6,8.8,83,63,,public,TRUE
283,female,group E,,standard,TRUE,8.9,7,84,65,62,private,FALSE
284,female,group A,some college,standard,FALSE,9,5.6,47,51,78,public,
285,male,group B,bachelor degree,free/reduced,TRUE,9.3,6.8,80,89,68,public,TRUE
286,male,group B,high school,standard,FALSE,12.9,6.3,79,79,68,private,TRUE
287,male,group E,associate degree,free/reduced,FALSE,19.7,7.1,79,,81,private,TRUE
288,male,group C,bachelor degree,standard,TRUE,11.4,7.5,68,67,65,public,TRUE
289,female,group D,some college,standard,TRUE,,,80,69,65,public,TRUE
290,female,group C,bachelor degree,standard,TRUE,13.3,9.2,66,65,79,international,TRUE
291,female,group A,associate degree,free/reduced,FALSE,16.6,7.5,68,62,59,public,TRUE
292,female,group E,some college,standard,TRUE,2.1,6.7,49,75,58,public,TRUE
293,male,group C,high school,free/reduced,TRUE,13.9,,45,71,71,private,TRUE
294,male,group C,some college,standard,FALSE,5.5,7.7,41,73,,private,FALSE
295,male,group E,,standard,FALSE,,7.5,31,86,51,private,TRUE
296,male,group D,some college,free/reduced,FALSE,11.7,7.2,72,80,39,private,TRUE
297,male,group B,some college,standard,FALSE,9.1,,39,66,48,private,TRUE
298,female,group D,some college,standard,TRUE,,6.4,60,65,79,private,TRUE
299,male,group C,bachelor degree,standard,TRUE,,7.5,80,58,60,public,TRUE
300,male,group B,high school,standard,TRUE,6.2,7.3,78,,72,public,TRUE
301,female,group E,,free/reduced,TRUE,0,9.4,66,77,97,public,
302,female,group E,,standard,FALSE,,8.4,69,55,76,public,TRUE
303,female,group E,some college,standard,TRUE,7.1,8.2,46,75,58,public,TRUE
304,male,group B,associate degree,free/reduced,TRUE,8.9,6.3,84,81,64,public,TRUE
305,female,group A,,free/reduced,FALSE,16,5.4,83,69,70,public,TRUE
306,female,group B,master degree,free/reduced,FALSE,7,7.4,70,57,56,public,TRUE
307,male,group C,high school,free/reduced,TRUE,6.7,4.8,64,90,73,public,TRUE
308,female,group D,,standard,TRUE,10.3,8.4,78,97,75,private,TRUE
309,female,group A,,free/reduced,TRUE,13.4,8.9,72,76,96,public,TRUE
310,male,group C,,standard,TRUE,,8.2,63,86,70,public,TRUE
311,female,group E,bachelor degree,standard,FALSE,15,8,92,47,69,public,FALSE
312,female,group A,some college,standard,FALSE,5.7,6.2,74,54,100,public,TRUE
313,female,group A,some college,standard,FALSE,11.7,4.2,86,74,84,public,TRUE
314,female,group B,high school,free/reduced,TRUE,9.2,6.7,33,68,75,private,FALSE
315,female,group C,bachelor degree,standard,FALSE,12.8,5.5,52,68,67,public,TRUE
316,male,group D,high school,standard,FALSE,7,6.2,69,92,71,private,TRUE
317,male,group A,high school,free/reduced,TRUE,4.5,9.2,63,,75,private,TRUE
318,male,group B,,standard,FALSE,11.5,8.4,55,75,74,public,TRUE
319,female,group B,some college,free/reduced,TRUE,4.3,8.6,90,91,68,public,TRUE
320,female,group E,,standard,FALSE,2.4,10.3,74,73,65,public,TRUE
321,male,group A,high school,standard,TRUE,11.2,8,97,,93,public,TRUE
322,male,group A,bachelor degree,standard,TRUE,12,7,79,64,,public,TRUE
323,female,group C,bachelor degree,free/reduced,TRUE,,5.3,77,73,49,public,TRUE
324,female,group E,,standard,TRUE,11.6,6.4,52,47,63,public,TRUE
325,female,group B,high school,standard,FALSE,4.6,6.9,86,71,88,public,TRUE
326,female,group B,bachelor degree,standard,FALSE,6.6,6.1,90,61,54,private,TRUE
327,female,group D,high school,standard,FALSE,,6.7,41,88,42,public,FALSE
328,female,group C,bachelor degree,standard,TRUE,14.5,5.1,73,61,94,public,TRUE
329,female,group B,bachelor degree,standard,FALSE,6.4,7.5,79,49,71,public,
330,female,group B,some college,free/reduced,TRUE,4.9,7.4,41,64,63,private,TRUE
331,female,group E,some college,free/reduced,TRUE,8.6,6.7,77,83,66,public,TRUE
332,male,group E,some college,free/reduced,TRUE,8.7,7.7,95,66,64,private,FALSE
333,male,group B,some college,standard,FALSE,17.5,5.8,73,74,,public,TRUE
334,male,group D,some college,free/reduced,TRUE,0,9.3,61,74,92,public,TRUE
335,female,group C,,standard,TRUE,7.5,9.1,61,95,,international,TRUE
336,male,group E,,,FALSE,21.2,,79,63,48,private,TRUE
337,male,group E,,free/reduced,TRUE,6,6.6,64,56,87,public,TRUE
338,male,group C,associate degree,standard,FALSE,5.7,7,49,,68,private,TRUE
339,female,group C,high school,free/reduced,TRUE,10.8,6.6,50,44,55,public,TRUE
340,male,group A,some college,,TRUE,13.2,7.6,73,91,68,public,TRUE
341,female,group C,high school,standard,TRUE,7.3,9.8,90,74,82,public,TRUE
342,female,group B,high school,standard,FALSE,11.7,5.6,93,85,66,private,TRUE
343,female,group B,high school,standard,FALSE,15.3,5.4,62,44,91,international,TRUE
344,male,group D,some college,standard,TRUE,22.7,6.7,68,68,62,public,TRUE
345,female,group D,bachelor degree,standard,TRUE,1.9,5.4,62,76,77,private,FALSE
346,male,group E,high school,standard,FALSE,,6.4,43,79,44,public,TRUE
347,male,group C,some college,standard,FALSE,14.1,5.6,48,59,68,public,TRUE
348,female,group B,,free/reduced,FALSE,10,8.1,56,77,65,public,TRUE
349,female,group B,high school,standard,TRUE,10.8,6.5,74,80,66,public,TRUE
350,male,group A,high school,free/reduced,FALSE,8.2,5.8,55,52,58,private,TRUE
351,male,group D,,free/reduced,TRUE,9.5,7,85,81,57,private,TRUE
